,Name,Type,Area,Neighborhood,Address,Lat,Long,Price,Comida_rating,Servicio_rating,Ambiente_rating,Votes,Menu_ejecutivo,Acceso_discapacitados,Estacionamientos,Kosher,Wifi,Domicilio,Dog_friendly,agg_rating,text
358,Athanasiou (Decapolis) ,['Griega'],Panamá,Paitilla/Punta Pacifica,"Avenida Balboa, Hotel Radisson Decapolis, Planta Baja",8.977298766361901,-79.517174317791,14,4.4,4.4,4.3,234,0,1,1,0,1,0,0,13.100000000000001,Athanasiou (Decapolis)  (234 Check-ins)<br>Price: $14.<br>Rating: 13.1/15.
357,Tosto Coffee Co (San Francisco) ,['Internacional'],Panamá,San Francisco,Calle 74. Plaza Spot 74,8.9923050699111,-79.505317736881,14,4.4,4.5,4.7,238,0,1,1,0,0,0,0,13.600000000000001,Tosto Coffee Co (San Francisco)  (238 Check-ins)<br>Price: $14.<br>Rating: 13.6/15.
508,Pizza Hut (Calle 50) ,['Pizzeria'],Panamá,Marbella/Area Bancaria,"Calle 50, al lado del Hotel RIU Plaza",8.9809316084981,-79.521892480552,14,4.0,3.9,3.8,85,0,1,1,0,0,0,0,11.7,Pizza Hut (Calle 50)  (85 Check-ins)<br>Price: $14.<br>Rating: 11.7/15.
323,Athanasiou (Costa del Este) ,['Griega'],Panamá,Costa del Este,Av. de La Rotonda al lado del Westín Ocean Mall,9.010120706699698,-79.474657773972,14,4.4,4.3,4.5,823,0,1,1,0,1,0,0,13.2,Athanasiou (Costa del Este)  (823 Check-ins)<br>Price: $14.<br>Rating: 13.2/15.
488,Juice Market (Altaplaza Mall) ,['Saludable'],Panamá,Condado del Rey,Altaplaza Mall,9.0297023835016,-79.534100853442,14,4.1,3.7,3.3,112,0,1,1,0,0,0,0,11.1,Juice Market (Altaplaza Mall)  (112 Check-ins)<br>Price: $14.<br>Rating: 11.1/15.
484,Pig Backside ,['Internacional'],Panamá,San Francisco,"Vía Cincuentenario, Coco del Mar",8.9919453519177,-79.49850596487501,14,4.1,4.3,3.8,134,0,1,0,0,0,0,0,12.2,Pig Backside  (134 Check-ins)<br>Price: $14.<br>Rating: 12.2/15.
409,Ihop Fresh & Go (Altaplaza)  ,['Americana'],Panamá,Condado del Rey,Altaplaza Mall,9.0298183,-79.5367965,14,4.3,4.0,3.8,191,0,0,1,0,1,0,0,12.100000000000001,Ihop Fresh & Go (Altaplaza)   (191 Check-ins)<br>Price: $14.<br>Rating: 12.1/15.
423,Soulfish Poke (Costa del Este) ,['Internacional'],Panamá,Costa del Este,"Avenida Marina del Norte. Atrio Mall, piso 4",9.02187098481,-79.462663605809,14,4.3,4.1,3.5,106,0,1,1,0,0,0,0,11.899999999999999,Soulfish Poke (Costa del Este)  (106 Check-ins)<br>Price: $14.<br>Rating: 11.9/15.
386,La Inmaculada (Marbella) ,['Internacional'],Panamá,Marbella/Area Bancaria,"Calle 53, Plaza New York, local No. 5",8.9812018396562,-79.519793987274,14,4.3,3.7,3.8,572,0,1,1,0,0,0,0,11.8,La Inmaculada (Marbella)  (572 Check-ins)<br>Price: $14.<br>Rating: 11.8/15.
243,Los Tacos de Villa ,['Mexicana'],Panamá,Bella Vista,Calle 45,8.9763492,-79.5287522,14,4.6,4.3,3.7,187,0,0,0,0,0,0,0,12.599999999999998,Los Tacos de Villa  (187 Check-ins)<br>Price: $14.<br>Rating: 12.6/15.
579,Casa Sucre Coffe House ,['Internacional'],Panamá,Casco Antiguo,Calle 8 y Avenida B,8.952822604986,-79.536128427053,14,4.2,4.5,4.4,76,0,0,0,0,1,0,0,13.1,Casa Sucre Coffe House  (76 Check-ins)<br>Price: $14.<br>Rating: 13.1/15.
611,Wing Zone (El Dorado) ,['Americana'],Panamá,El Dorado/Bethania,"Via Ricardo J. Alfaro, Edif. Century Tower, Local Nro. 7",9.002962734079599,-79.532759785652,14,3.7,2.9,3.1,109,0,1,1,0,0,1,0,9.7,Wing Zone (El Dorado)  (109 Check-ins)<br>Price: $14.<br>Rating: 9.7/15.
610,Rock Burger (Calle 50) ,['Americana'],Panamá,San Francisco,"Plaza los Portales , Calle 50 y Calle 66",8.9896795775888,-79.511339664459,14,3.7,3.3,3.0,121,0,1,1,0,0,1,0,10.0,Rock Burger (Calle 50)  (121 Check-ins)<br>Price: $14.<br>Rating: 10.0/15.
250,Banh Mi ,"['Vietnamita', 'Fusion']",Panamá,Marbella/Area Bancaria,Calle Anastacio Ruiz Noriega. Terrazas Marbella,8.9788681087859,-79.519603215158,14,4.6,4.4,4.4,111,0,1,1,0,1,0,1,13.4,Banh Mi  (111 Check-ins)<br>Price: $14.<br>Rating: 13.4/15.
613,Pizza Hut (Tumba Muerto) ,['Pizzeria'],Panamá,El Dorado/Bethania,Avenida Ricardo J. Alfaro. Villa de las Fuentes,9.015507578548801,-79.535523914017,14,3.7,3.1,3.3,107,0,1,1,0,0,1,0,10.100000000000001,Pizza Hut (Tumba Muerto)  (107 Check-ins)<br>Price: $14.<br>Rating: 10.1/15.
240,Bistro Mkt ,"['Saludable', 'Pastelería']",Panamá,Costa del Este,"Av. de La Rotonda, Ocean Mall, al lado del Westin",9.009620355246199,-79.475002773106,14,4.6,4.0,4.0,243,0,1,0,0,1,0,0,12.6,Bistro Mkt  (243 Check-ins)<br>Price: $14.<br>Rating: 12.6/15.
572,Green Bar (San Francisco) ,['Saludable'],Panamá,San Francisco,Calle 50 y 67 Este,8.99119,-79.51113199999999,14,4.2,4.0,3.8,131,0,0,1,0,1,0,1,12.0,Green Bar (San Francisco)  (131 Check-ins)<br>Price: $14.<br>Rating: 12.0/15.
239,Norexpress ,['China'],Panamá,El Dorado/Bethania,"Av. Miguel A, Brostella, local 14",9.0067629744625,-79.536823233107,14,4.6,3.9,3.4,260,0,0,0,0,0,0,0,11.9,Norexpress  (260 Check-ins)<br>Price: $14.<br>Rating: 11.9/15.
588,Pita-Pan Kosher ,['Internacional'],Panamá,Paitilla/Punta Pacifica,"Via Italia, Bal Harbour",8.977079467934699,-79.514510035515,14,4.1,3.0,3.0,87,0,1,1,1,0,0,0,10.1,Pita-Pan Kosher  (87 Check-ins)<br>Price: $14.<br>Rating: 10.1/15.
270,Athen's Pizza (El Dorado) ,"['Griega', 'Pizzeria']",Panamá,El Dorado/Bethania,Centro Comercial Aventura Mall   Vía Ricardo Alfaro,9.011604,-79.533604,15,4.5,3.7,3.6,737,0,0,1,0,1,0,0,11.799999999999999,Athen's Pizza (El Dorado)  (737 Check-ins)<br>Price: $15.<br>Rating: 11.8/15.
505,Sushi Express (Costa del Este) ,['Japonesa'],Panamá,Costa del Este,"Avenida Centenario, Plaza Cristal",9.015709959516,-79.476495087147,15,4.0,3.9,3.7,156,1,1,1,0,1,1,0,11.600000000000001,Sushi Express (Costa del Este)  (156 Check-ins)<br>Price: $15.<br>Rating: 11.6/15.
591,Armónica Café ,['Americana'],Panamá,El Carmen/El Cangrejo,"Via Argentina, PH Zahav local B",8.988297322447,-79.529597461224,15,4.0,3.4,4.4,77,0,1,0,0,0,0,0,11.8,Armónica Café  (77 Check-ins)<br>Price: $15.<br>Rating: 11.8/15.
341,Athens Pizza (Costa del Este) ,['Griega'],Panamá,Costa del Este,"Avenida de La Rotonda, Town Center",9.0150990169021,-79.464542157948,15,4.4,3.9,4.0,420,0,1,1,0,0,0,0,12.3,Athens Pizza (Costa del Este)  (420 Check-ins)<br>Price: $15.<br>Rating: 12.3/15.
589,Brasas & Gourmet ,"['Panameña', 'Venezolana']",Panamá,El Carmen/El Cangrejo,"Av. Ramón Arias, Edificio María Elena, local 2",8.992752708593098,-79.522819519043,15,4.0,3.9,3.6,124,1,0,1,0,1,1,0,11.5,Brasas & Gourmet  (124 Check-ins)<br>Price: $15.<br>Rating: 11.5/15.
400,Fitness Food (Albrook) ,['Saludable'],Panamá,Albrook/Clayton,Multicentro   Albrook Mall,8.976433,-79.51738,15,4.3,3.9,3.4,284,0,1,1,0,1,1,0,11.6,Fitness Food (Albrook)  (284 Check-ins)<br>Price: $15.<br>Rating: 11.6/15.
349,Pho Vietnam ,['Vietnamita'],Panamá,Costa del Este,"Avenida de La Rotonda, Ocean Mall",9.009814071807801,-79.474405311048,15,4.4,4.1,3.6,322,1,1,1,0,0,1,0,12.1,Pho Vietnam  (322 Check-ins)<br>Price: $15.<br>Rating: 12.1/15.
454,Sushi Express (El Dorado) ,['Japonesa'],Panamá,El Dorado/Bethania,Centro Comercial Camino de Cruces,9.005940383134,-79.538301229477,15,4.2,4.0,4.0,189,1,1,1,0,1,1,0,12.2,Sushi Express (El Dorado)  (189 Check-ins)<br>Price: $15.<br>Rating: 12.2/15.
330,Mamma Rosa ,"['Pizzeria', 'Italiana']",Panamá,Condado del Rey,Plaza altos de Panama,9.027954091093001,-79.524729251862,15,4.4,3.7,3.6,522,0,1,0,0,0,0,0,11.700000000000001,Mamma Rosa  (522 Check-ins)<br>Price: $15.<br>Rating: 11.7/15.
319,Athanasiou (San Francisco) ,['Griega'],Panamá,San Francisco,"Vía Porras, Plaza Ledakon L1",8.9969066924882,-79.50496673584,15,4.4,4.1,4.3,1071,0,0,0,0,0,0,0,12.8,Athanasiou (San Francisco)  (1071 Check-ins)<br>Price: $15.<br>Rating: 12.8/15.
403,Tomato (San Francisco) ,"['Internacional', 'Saludable']",Panamá,San Francisco,"Calle 75, plaza 75, al lado de Megastorage",8.98909409019,-79.503370821476,15,4.3,4.2,3.8,226,0,1,1,0,1,0,0,12.3,Tomato (San Francisco)  (226 Check-ins)<br>Price: $15.<br>Rating: 12.3/15.
500,Sushi Express (Condado del Rey) ,['Japonesa'],Panamá,Condado del Rey,"Avenida Federico Guardia, Gran Plaza",9.040649131137402,-79.528168434918,15,4.0,3.9,3.9,282,1,1,1,0,1,1,0,11.8,Sushi Express (Condado del Rey)  (282 Check-ins)<br>Price: $15.<br>Rating: 11.8/15.
221,Esa Flaca Rica (San Francisco) ,['Americana'],Panamá,San Francisco,Via Israel,8.989600430874699,-79.507770650089,15,4.6,4.2,4.3,1893,0,1,0,0,0,0,0,13.100000000000001,Esa Flaca Rica (San Francisco)  (1893 Check-ins)<br>Price: $15.<br>Rating: 13.1/15.
585,Bora ,"['Venezolana', 'Internacional']",Panamá,El Carmen/El Cangrejo,"Vía Argentina, edificio 59, local 02",8.9888847980847,-79.525400139391,15,4.1,3.9,3.9,107,1,0,0,0,1,1,0,11.9,Bora  (107 Check-ins)<br>Price: $15.<br>Rating: 11.9/15.
324,Oink House (Condado del Rey) ,['Americana'],Panamá,Condado del Rey,"Via Centenario, detrás de Centennial Plaza, al lado de Novey",9.0317901572155,-79.53166278888601,15,4.4,4.0,4.0,801,0,1,0,0,0,0,0,12.4,Oink House (Condado del Rey)  (801 Check-ins)<br>Price: $15.<br>Rating: 12.4/15.
498,Fuddruckers (Altaplaza) ,['Americana'],Panamá,Condado del Rey,"Altaplaza Mall, Piso 1, Local 1   408",9.0299736027405,-79.534043893218,15,4.0,4.0,4.1,443,1,1,1,0,0,0,0,12.1,Fuddruckers (Altaplaza)  (443 Check-ins)<br>Price: $15.<br>Rating: 12.1/15.
326,El Trapiche (Albrook Mall) ,['Panameña'],Panamá,Albrook/Clayton,Frente estacionamientos pasillo de La Cebra,8.974117,-79.553043,15,4.4,4.0,3.9,648,1,0,1,0,1,0,0,12.3,El Trapiche (Albrook Mall)  (648 Check-ins)<br>Price: $15.<br>Rating: 12.3/15.
327,La Reina Sazón Latina (Albrook) ,['Latinoamericana'],Panamá,Albrook/Clayton,Calle Paseo Andrews Pancanal Plaza Local 1B,8.9716860050051,-79.56379897892499,15,4.4,4.1,4.0,586,1,1,1,0,1,1,1,12.5,La Reina Sazón Latina (Albrook)  (586 Check-ins)<br>Price: $15.<br>Rating: 12.5/15.
320,El Trapiche (El Cangrejo) ,['Panameña'],Panamá,El Carmen/El Cangrejo,Via Argentina,8.988344347025802,-79.523656368256,15,4.4,4.2,4.0,1030,1,0,0,0,0,0,0,12.600000000000001,El Trapiche (El Cangrejo)  (1030 Check-ins)<br>Price: $15.<br>Rating: 12.6/15.
229,Mentiritas Blancas ,"['Pastelería', 'Internacional']",Panamá,El Carmen/El Cangrejo,"Local 2B, Edificio de Mar, Calle Gaspar O. Hernández, entrando entre Manolos y El Trapiche",8.9900690189092,-79.525078609586,15,4.6,4.3,4.4,780,0,0,0,0,1,0,1,13.299999999999999,Mentiritas Blancas  (780 Check-ins)<br>Price: $15.<br>Rating: 13.3/15.
431,Kouzina (Costa del Este) ,"['Griega', 'Mediterránea']",Panamá,Costa del Este,"C.C. Downtown Plaza, local 15, Costa del Este",9.009040860638699,-79.477648772299,15,4.2,3.9,3.8,698,0,0,1,0,1,1,0,11.899999999999999,Kouzina (Costa del Este)  (698 Check-ins)<br>Price: $15.<br>Rating: 11.9/15.
513,Beauty And The Butcher ,['Americana'],Panamá,Casco Antiguo,"Avenida Central, frente al Teatro Amador. San Felipe",8.9531461169755,-79.538022133834,15,3.9,4.0,4.5,418,0,0,0,0,1,0,0,12.4,Beauty And The Butcher  (418 Check-ins)<br>Price: $15.<br>Rating: 12.4/15.
205,Talulú ,"['Venezolana', 'Internacional']",Panamá,San Francisco,Via Porras con Calle 67 Este,8.995837072684902,-79.512473233044,15,4.7,4.6,4.2,564,1,1,1,0,1,1,0,13.5,Talulú  (564 Check-ins)<br>Price: $15.<br>Rating: 13.5/15.
554,Pizza al Forno (Condado del Rey) ,"['Pizzeria', 'Italiana']",Panamá,Condado del Rey,Plaza Cecilia frente a Explora,9.035177791385301,-79.528073966503,15,4.4,4.0,3.5,102,0,1,1,0,1,1,0,11.9,Pizza al Forno (Condado del Rey)  (102 Check-ins)<br>Price: $15.<br>Rating: 11.9/15.
284,La Reina Sazón Latina (Costa del Este) ,['Internacional'],Panamá,Costa del Este,"Plaza Downtown, local 5",9.0088594712114,-79.477985971064,15,4.5,4.6,4.2,314,1,1,1,0,1,1,0,13.3,La Reina Sazón Latina (Costa del Este)  (314 Check-ins)<br>Price: $15.<br>Rating: 13.3/15.
444,Rice & Noodles ,"['China', 'Cantonesa']",Panamá,Albrook/Clayton,"Avenida Omar Torrijos, Cardenas Center, Local B3",8.9851889,-79.57539670000001,15,4.2,3.9,4.1,301,0,1,1,0,0,0,0,12.2,Rice & Noodles  (301 Check-ins)<br>Price: $15.<br>Rating: 12.2/15.
379,Cafe Unido (Marbella II) ,['Internacional'],Panamá,Marbella/Area Bancaria,Calle Aquilino de La Guardia,8.977235117461301,-79.522758163512,15,4.4,4.2,4.3,86,0,1,1,0,0,0,0,12.900000000000002,Cafe Unido (Marbella II)  (86 Check-ins)<br>Price: $15.<br>Rating: 12.9/15.
373,La Vaquita (Via España) ,['Internacional'],Panamá,San Francisco,Via España. Entre vía Brasil y Vía Porras,8.9938150521234,-79.51990127563501,15,4.4,4.3,3.8,137,0,1,0,0,0,1,0,12.5,La Vaquita (Via España)  (137 Check-ins)<br>Price: $15.<br>Rating: 12.5/15.
415,China Hour ,['China'],Panamá,Obarrio,Frente de Price Smart,8.9908028629801,-79.519826173782,15,4.3,4.0,3.8,175,1,0,1,0,1,1,0,12.100000000000001,China Hour  (175 Check-ins)<br>Price: $15.<br>Rating: 12.1/15.
428,Smashburger ,['Americana'],Panamá,Marbella/Area Bancaria,"Av. principal, Plaza New York",8.981699912243199,-79.520255327225,15,4.2,4.0,4.0,918,0,0,1,0,1,1,0,12.2,Smashburger  (918 Check-ins)<br>Price: $15.<br>Rating: 12.2/15.
280,Brun ,['Panadería'],Panamá,Marbella/Area Bancaria,"Av. Balboa, C.C. Balboa Boutiques",8.976203,-79.52059100000001,15,4.5,3.8,4.2,363,0,0,0,0,0,0,0,12.5,Brun  (363 Check-ins)<br>Price: $15.<br>Rating: 12.5/15.
201,Hambre ,"['Peruana', 'Internacional']",Panamá,Obarrio,"Calle La Colmena, Nuevo Paitilla, atras del Credicorp Bank (Edificio Inteligente)",8.9827649375002,-79.51490800827699,15,4.8,4.8,4.6,85,1,0,1,0,1,0,0,14.2,Hambre  (85 Check-ins)<br>Price: $15.<br>Rating: 14.2/15.
436,Fatburger ,['Comida Rápida'],Panamá,Costa del Este,"Rada Plaza, Local No. 12",9.0153996868922,-79.477866366506,15,4.2,4.1,3.9,622,0,1,1,0,1,0,0,12.200000000000001,Fatburger  (622 Check-ins)<br>Price: $15.<br>Rating: 12.2/15.
618,Don Blas (Bella Vista) ,['Internacional'],Panamá,Bella Vista,Calle 49 y Calle Uruguay,8.9785313111365,-79.525179862976,15,3.6,3.4,3.2,256,0,0,1,0,0,0,0,10.2,Don Blas (Bella Vista)  (256 Check-ins)<br>Price: $15.<br>Rating: 10.2/15.
420,Beat Burger Punto ,['Americana'],Panamá,Marbella/Area Bancaria,"Avenida 5a B Sur, pasando Banco General",8.977265300000001,-79.5215314,15,4.3,4.2,4.1,118,0,0,0,0,0,0,0,12.6,Beat Burger Punto  (118 Check-ins)<br>Price: $15.<br>Rating: 12.6/15.
576,La Nostra Pizza (Multicentro) ,['Italiana'],Panamá,Marbella/Area Bancaria,"Multicentro, Food Court del 4to piso",8.9764754308084,-79.51751385449799,15,4.2,3.8,3.3,86,0,1,1,0,0,0,0,11.3,La Nostra Pizza (Multicentro)  (86 Check-ins)<br>Price: $15.<br>Rating: 11.3/15.
249,Sabor Viet (Bella Vista) ,['Vietnamita'],Panamá,Bella Vista,"Calle Uruguay, Casa 16",8.9780226368076,-79.525314308703,15,4.6,4.4,3.8,113,0,0,0,0,0,0,0,12.8,Sabor Viet (Bella Vista)  (113 Check-ins)<br>Price: $15.<br>Rating: 12.8/15.
306,Fitness Food (Multiplaza) ,['Saludable'],Panamá,Paitilla/Punta Pacifica,"Via Israel, Multiplaza Mall",8.985283751729801,-79.510933957999,15,4.5,4.2,3.6,106,0,1,1,0,0,1,0,12.299999999999999,Fitness Food (Multiplaza)  (106 Check-ins)<br>Price: $15.<br>Rating: 12.3/15.
364,Saint-honoré (Punta Pacífica) ,['Francesa'],Panamá,Paitilla/Punta Pacifica,Calle Punta Chiriqui. Grand Plaza Shopping Mall,8.976204482104501,-79.507547149074,15,4.4,4.2,4.5,176,0,1,1,0,0,0,0,13.100000000000001,Saint-honoré (Punta Pacífica)  (176 Check-ins)<br>Price: $15.<br>Rating: 13.1/15.
562,T.Bar (Ciudad del Saber) ,['Saludable'],Panamá,Albrook/Clayton,"Plaza Ciudad del Saber, local F3",9.0022636,-79.5825145,15,4.3,4.2,3.8,79,0,0,0,0,0,0,0,12.3,T.Bar (Ciudad del Saber)  (79 Check-ins)<br>Price: $15.<br>Rating: 12.3/15.
348,Casco Burger (Casco Antiguo) ,"['Americana', 'Comida Rápida']",Panamá,Casco Antiguo,Avenida Central con Calle 11,8.952852964659598,-79.53769505024,16,4.4,4.2,4.3,334,1,0,0,0,1,1,0,12.900000000000002,Casco Burger (Casco Antiguo)  (334 Check-ins)<br>Price: $16.<br>Rating: 12.9/15.
387,Tomato (Punta Pacifica) ,"['Internacional', 'Saludable']",Panamá,Paitilla/Punta Pacifica,"Mall Multiplaza, planta baja",8.9845187782425,-79.510164856911,16,4.3,4.1,3.7,560,0,1,1,0,1,0,0,12.099999999999998,Tomato (Punta Pacifica)  (560 Check-ins)<br>Price: $16.<br>Rating: 12.1/15.
457,Papa Jhon's (Obarrio) ,"['Pizzeria', 'Americana']",Panamá,Obarrio,"Avenida Ernestina Sucre Tapia, al lado de Cecils Fashion",8.988829163454099,-79.521920979023,16,4.2,3.9,3.7,126,0,1,1,0,0,0,0,11.8,Papa Jhon's (Obarrio)  (126 Check-ins)<br>Price: $16.<br>Rating: 11.8/15.
473,Pixvae Mercadito Panameño ,['Panameña'],Panamá,San Francisco,"Calle 75, Via Israel. Plaza San Francisco 75, local 2",8.9896928238991,-79.503473080695,16,4.1,4.1,4.1,267,1,1,1,0,1,1,0,12.299999999999999,Pixvae Mercadito Panameño  (267 Check-ins)<br>Price: $16.<br>Rating: 12.3/15.
396,Cafe Unido (Costa del Este 2) ,['Internacional'],Panamá,Costa del Este,"Av. Las Costas, Town Center frente a la fuente Pancho Motta",9.014066206956599,-79.46610454469901,16,4.3,4.1,4.3,324,0,1,1,0,0,0,0,12.7,Cafe Unido (Costa del Este 2)  (324 Check-ins)<br>Price: $16.<br>Rating: 12.7/15.
388,Cafe Unido (Multiplaza) ,['Internacional'],Panamá,Paitilla/Punta Pacifica,"Via Israel, C. C. Multiplaza. Luxury Avenue Michael Kors",8.9855255107859,-79.51080322265601,16,4.3,3.8,4.3,478,0,1,1,0,1,0,0,12.399999999999999,Cafe Unido (Multiplaza)  (478 Check-ins)<br>Price: $16.<br>Rating: 12.4/15.
393,Wingstop (San Francisco) ,,Panamá,San Francisco,"Calle 74, San Francisco",8.991105000000001,-79.505346,16,4.3,4.2,4.3,382,1,1,1,0,1,1,1,12.8,Wingstop (San Francisco)  (382 Check-ins)<br>Price: $16.<br>Rating: 12.8/15.
360,Café Unido (Marbella) ,['Internacional'],Panamá,Marbella/Area Bancaria,"Calle 54 Este, Plaza Riviera",8.979859954520402,-79.518049880862,16,4.4,4.2,4.3,223,0,0,1,0,1,0,0,12.900000000000002,Café Unido (Marbella)  (223 Check-ins)<br>Price: $16.<br>Rating: 12.9/15.
375,Chick N Pop ,['Pollo Asado'],Panamá,Obarrio,"Sortis Hotel, calle 56",8.9870964875951,-79.52063579451199,16,4.4,4.5,4.3,111,0,0,1,1,1,1,1,13.2,Chick N Pop  (111 Check-ins)<br>Price: $16.<br>Rating: 13.2/15.
471,Sushi House (Albrook) ,['Japonesa'],Panamá,Albrook/Clayton,Plaza Albrook,8.9757971782298,-79.55828905105601,16,4.1,3.5,3.4,320,0,0,1,0,1,0,0,11.0,Sushi House (Albrook)  (320 Check-ins)<br>Price: $16.<br>Rating: 11.0/15.
369,Sabor Sazon Panama ,['Colombiana'],Panamá,San Francisco,Calle 70 Este A Una Cuadra Y Media De Via Israel (Diagonal A Amano),8.989002028171301,-79.508658796549,16,4.4,4.6,4.1,163,0,1,1,0,0,1,1,13.1,Sabor Sazon Panama  (163 Check-ins)<br>Price: $16.<br>Rating: 13.1/15.
212,Karma Café (San Francisco) ,['Vegana'],Panamá,San Francisco,"Calle 65, Plaza 1809",8.992432812767198,-79.51343044638601,16,4.7,4.3,4.1,164,1,1,1,0,1,1,0,13.1,Karma Café (San Francisco)  (164 Check-ins)<br>Price: $16.<br>Rating: 13.1/15.
227,Athen's Pizza (Obarrio) ,"['Griega', 'Pizzeria']",Panamá,Obarrio,"Calle 57, Edificio Rocris, Planta Baja",8.9885350945504,-79.520738124847,16,4.6,4.0,3.6,1503,0,0,1,0,1,0,0,12.2,Athen's Pizza (Obarrio)  (1503 Check-ins)<br>Price: $16.<br>Rating: 12.2/15.
547,Lattemiele ,['Italiana'],Panamá,Obarrio,Calle 59 Este y Av. Samuel Lewis Edificio Piruetas local 4,8.98781051835,-79.518403932452,16,4.5,4.5,4.0,76,0,1,0,0,1,0,0,13.0,Lattemiele  (76 Check-ins)<br>Price: $16.<br>Rating: 13.0/15.
329,Café Unido (Coco del Mar) ,['Internacional'],Panamá,San Francisco,"Edificio Le Mare, Planta Baja",8.992554015566801,-79.497736506164,16,4.4,4.2,4.3,545,0,0,1,0,1,0,0,12.900000000000002,Café Unido (Coco del Mar)  (545 Check-ins)<br>Price: $16.<br>Rating: 12.9/15.
338,Barrio Pizza (San Francisco) ,['Pizzeria'],Panamá,San Francisco,"Via Porras, Royal Blue Plaza, PB",8.9937567690181,-79.515869915485,16,4.4,4.1,4.2,436,0,1,1,0,1,0,1,12.7,Barrio Pizza (San Francisco)  (436 Check-ins)<br>Price: $16.<br>Rating: 12.7/15.
553,821 Taqueria & Spot ,"['Panameña', 'Fusion']",Panamá,San Francisco,"Vía Israel, Plaza: The Place, alado del antiguo Wassup.",8.9873132437999,-79.508560701007,16,4.4,4.4,4.1,103,1,0,1,0,1,1,0,12.9,821 Taqueria & Spot  (103 Check-ins)<br>Price: $16.<br>Rating: 12.9/15.
265,Barrio Pizza (Casco Antiguo) ,['Pizzeria'],Panamá,Casco Antiguo,"Calle 8 con Av. Central, Casa Neuman, Local 1. San Felipe",8.952376048777301,-79.53600257635101,16,4.5,4.2,4.3,968,0,1,0,0,1,0,0,13.0,Barrio Pizza (Casco Antiguo)  (968 Check-ins)<br>Price: $16.<br>Rating: 13.0/15.
535,Cerditos (San Francisco) ,['Internacional'],Panamá,San Francisco,Vía Israel frente al Richard Neumann,8.9815187649121,-79.51589338481399,16,3.7,3.3,3.7,191,0,0,0,0,0,0,0,10.7,Cerditos (San Francisco)  (191 Check-ins)<br>Price: $16.<br>Rating: 10.7/15.
533,Sushi Express (Punta Pacifica) ,['Japonesa'],Panamá,Paitilla/Punta Pacifica,"Plaza Pacifica, Avenida Ramón H.Jurado",8.9778010850702,-79.510424360633,16,3.7,3.5,3.5,602,1,1,1,0,1,1,0,10.7,Sushi Express (Punta Pacifica)  (602 Check-ins)<br>Price: $16.<br>Rating: 10.7/15.
417,La Crema y Nata ,['Internacional'],Panamá,Costa del Este,"Town Center, Local M2",9.0136711621664,-79.46462228894201,16,4.3,4.2,4.2,132,0,1,1,0,0,0,0,12.7,La Crema y Nata  (132 Check-ins)<br>Price: $16.<br>Rating: 12.7/15.
292,Giorgio's (Albrook Mall) ,['Italiana'],Panamá,Albrook/Clayton,"Centro Comercial Albrook Mall, Pasillo Dinosaurio, al lado de El Trapiche",8.977351026639802,-79.550872407854,16,4.5,4.3,3.9,204,0,1,1,0,0,0,0,12.700000000000001,Giorgio's (Albrook Mall)  (204 Check-ins)<br>Price: $16.<br>Rating: 12.7/15.
573,Papa John's (Albrook) ,"['Pizzeria', 'Americana']",Panamá,Albrook/Clayton,"Albrook, Panamá",8.969723019850802,-79.561738371849,16,4.2,3.5,3.6,115,0,1,1,0,1,0,0,11.3,Papa John's (Albrook)  (115 Check-ins)<br>Price: $16.<br>Rating: 11.3/15.
410,Barrio Pizza (Marbella) ,['Pizzeria'],Panamá,Marbella/Area Bancaria,"Punto Marbella, Calle 47",8.9770913900285,-79.521743953228,16,4.3,4.2,4.3,190,0,0,0,0,0,0,0,12.8,Barrio Pizza (Marbella)  (190 Check-ins)<br>Price: $16.<br>Rating: 12.8/15.
251,Coffee Max ,['Internacional'],Panamá,El Carmen/El Cangrejo,Av. Ricardo Arango Calle Elvira Mendez. Diagonal al Marriot Hotel,8.981638977867698,-79.524957239628,16,4.6,4.3,4.2,107,0,0,1,1,1,1,0,13.099999999999998,Coffee Max  (107 Check-ins)<br>Price: $16.<br>Rating: 13.1/15.
248,Moccas's Amsterdam ,['Internacional'],Panamá,Costa del Este,"Av. de la Rotonda, Ocean Mall, Planta Baja",9.010017,-79.474671,16,4.6,4.7,4.7,118,0,0,1,0,1,0,0,14.0,Moccas's Amsterdam  (118 Check-ins)<br>Price: $16.<br>Rating: 14.0/15.
481,Taglios Gastrobar ,['Italiana'],Panamá,Marbella/Area Bancaria,Plaza New York Local Nro. 14,8.9812919166641,-79.519917368889,16,4.1,4.1,3.8,165,1,1,1,0,1,1,0,12.0,Taglios Gastrobar  (165 Check-ins)<br>Price: $16.<br>Rating: 12.0/15.
582,Nostra Pizza ,['Italiana'],Panamá,El Dorado/Bethania,"Plaza Camino de Cruces, Frente a Do It Center",9.006835947757901,-79.53787990954001,16,4.1,3.7,3.6,376,0,0,0,0,0,0,0,11.4,Nostra Pizza  (376 Check-ins)<br>Price: $16.<br>Rating: 11.4/15.
223,Esa Flaca Rica (Costa del Este) ,"['Americana', 'Comida Rápida']",Panamá,Costa del Este,Plazar Downtown,9.0091315929986,-79.477890841663,16,4.6,4.0,4.1,1678,0,0,0,0,0,0,0,12.7,Esa Flaca Rica (Costa del Este)  (1678 Check-ins)<br>Price: $16.<br>Rating: 12.7/15.
